scenario_name,rainfall_mm,gauge_level_m,call_volume,risk_label,regime
Synthetic_LOW_Sample_0324,14.1,1.91,20,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0325,23.8,1.65,21,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0326,12.1,1.72,10,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0327,13.4,2.12,28,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0328,22.0,1.55,23,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0329,20.2,1.48,32,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0330,24.0,1.79,24,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0331,21.1,1.19,22,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0332,17.3,1.53,22,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0333,27.9,2.08,20,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0334,22.7,2.33,29,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0335,20.5,1.65,28,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0336,21.9,2.16,27,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0337,24.7,1.69,31,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0338,21.1,2.56,20,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0339,27.7,1.93,20,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0340,18.1,1.76,26,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0341,22.5,1.68,23,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0342,29.4,2.44,26,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0343,20.4,1.91,27,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0344,15.8,1.78,14,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0345,21.9,2.08,21,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0346,27.0,1.46,15,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0347,21.2,2.21,33,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0348,18.2,2.23,23,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0349,19.5,2.16,27,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0350,13.4,2.36,31,LOW,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0001,59.7,3.79,100,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0002,65.8,3.51,83,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0003,63.8,4.03,101,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0004,61.5,3.91,50,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0005,71.9,3.16,87,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0006,56.3,3.29,110,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0007,60.8,3.78,92,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0008,67.3,3.7,74,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0009,70.8,3.53,69,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0010,61.1,4.12,106,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0011,61.6,3.57,88,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0012,78.2,3.79,99,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0013,71.0,3.75,89,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0014,62.6,3.65,92,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0015,69.0,3.69,104,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0016,63.4,3.7,63,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0017,70.3,3.78,108,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0018,44.2,4.3,91,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0019,71.6,3.37,102,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0020,56.8,3.49,121,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0021,62.7,3.74,106,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0022,67.4,3.72,98,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0023,80.4,3.66,96,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0024,71.2,4.01,111,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0025,68.4,3.34,117,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0026,56.1,3.77,81,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0027,63.6,3.77,98,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0028,66.9,4.16,100,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0029,62.3,3.96,111,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0030,55.6,3.85,103,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0031,62.0,4.09,91,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0032,64.9,3.62,93,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0033,56.5,3.25,117,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0034,58.2,3.38,60,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0035,59.6,3.28,117,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0036,70.9,3.47,127,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0037,70.7,3.58,55,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0038,79.7,3.26,68,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0039,71.0,4.4,114,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0040,67.9,3.85,106,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0041,69.2,3.76,94,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0042,63.6,3.45,89,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0043,52.4,3.65,78,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0044,56.4,3.73,114,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0045,70.3,3.21,78,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0046,70.4,3.38,89,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0047,67.8,3.39,94,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0048,54.9,3.5,98,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0049,53.1,3.81,92,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0050,67.8,3.74,113,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0051,64.8,3.55,95,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0052,67.7,3.69,93,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0053,59.2,3.48,72,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0054,76.0,3.31,82,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0055,59.1,3.94,88,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0056,72.5,3.48,97,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0057,58.3,4.32,75,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0058,66.1,3.87,99,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0059,62.7,3.64,93,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0060,63.0,3.96,126,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0061,60.2,3.27,91,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0062,81.6,3.44,117,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0063,75.5,3.51,101,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0064,75.1,3.56,90,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0065,60.0,3.37,83,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0066,55.6,3.69,81,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0067,65.6,3.21,98,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0068,69.7,3.08,98,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0069,72.4,3.32,118,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0070,66.9,3.47,92,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0071,67.8,3.7,101,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0072,57.7,3.73,72,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0073,63.2,3.41,82,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0074,72.5,4.0,102,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0075,56.5,3.58,111,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0076,65.0,4.37,99,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0077,65.3,3.58,95,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0078,62.9,3.89,107,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0079,58.6,3.28,65,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0080,67.5,3.35,61,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0081,66.7,4.42,93,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0082,69.7,3.7,91,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0083,70.3,3.59,97,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0084,66.2,3.48,108,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0085,62.8,3.45,101,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0086,57.8,3.68,93,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0087,71.4,3.82,92,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0088,69.6,4.09,101,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0089,64.1,3.28,77,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0090,61.9,3.49,90,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0091,64.4,3.83,92,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0092,67.3,3.7,63,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0093,57.6,3.63,75,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0094,68.1,4.13,111,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0095,62.5,4.12,95,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0096,61.7,3.49,88,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0097,61.3,3.73,95,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0098,64.0,3.81,111,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0099,70.5,3.23,54,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0100,70.4,3.27,89,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0101,56.0,3.14,101,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0102,69.2,3.5,54,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0103,60.3,3.79,71,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0104,65.2,3.67,101,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0105,64.8,3.39,111,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0106,62.9,3.67,79,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0107,61.0,3.41,90,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0108,75.7,3.27,69,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0109,74.1,3.61,83,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0110,71.1,3.5,120,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0111,68.6,3.53,125,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0112,59.8,3.9,97,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0113,72.9,4.14,93,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0114,58.8,3.81,83,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0115,77.8,3.72,87,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0116,65.3,3.27,78,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0117,72.2,3.48,77,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0118,67.7,4.03,104,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0119,70.8,3.45,71,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0120,74.3,3.58,89,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0121,73.1,3.84,100,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0122,78.8,3.48,107,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0123,64.4,3.76,116,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0124,67.5,3.84,109,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0125,61.5,3.43,77,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0126,50.5,4.29,76,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0127,62.5,3.59,97,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0128,69.6,3.93,84,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0129,62.8,3.76,89,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0130,75.0,3.82,104,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0131,68.5,4.03,96,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0132,55.1,3.8,83,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0133,60.4,3.85,111,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0134,64.1,3.77,118,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0135,65.6,4.45,101,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0136,51.9,3.9,99,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0137,72.8,3.88,91,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0138,55.6,3.61,80,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0139,60.0,3.85,118,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0140,66.7,3.32,99,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0141,72.2,3.49,91,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0142,64.1,3.44,103,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0143,63.2,3.8,79,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0144,61.0,3.89,87,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0145,75.8,3.56,96,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0146,70.4,3.25,66,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0147,53.5,4.05,85,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0148,81.5,3.51,96,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0149,74.5,4.27,124,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0150,72.3,3.98,102,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0151,69.3,3.51,81,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0152,64.0,3.63,86,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0153,68.8,3.96,94,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0154,74.1,3.34,90,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0155,59.1,3.12,92,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0156,63.2,4.13,102,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0157,57.0,4.23,111,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0158,68.0,3.61,78,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0159,61.4,4.0,121,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0160,74.6,3.53,76,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0161,65.0,3.15,98,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0162,63.0,3.54,69,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0163,67.5,3.52,75,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0164,44.3,3.67,119,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0165,75.4,3.54,84,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0166,67.2,3.38,97,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0167,69.2,4.04,91,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0168,62.6,3.41,80,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0169,62.4,3.79,106,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0170,58.5,4.12,89,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0171,63.8,3.45,56,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0172,70.0,3.9,89,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0173,64.4,3.83,69,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0174,60.4,3.91,74,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0175,66.0,3.27,100,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0176,63.7,3.19,110,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0177,59.0,3.43,96,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0178,71.9,3.37,94,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0179,66.9,3.88,95,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0180,61.5,3.43,94,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0181,56.7,2.8,99,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0182,70.2,2.97,78,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0183,68.2,4.29,93,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0184,59.0,3.62,113,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0185,59.6,3.44,86,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0186,57.5,3.71,117,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0187,66.2,3.6,88,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0188,53.3,3.94,92,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0189,62.8,4.63,97,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0190,58.8,3.55,110,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0191,64.8,3.25,107,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0192,59.4,4.24,109,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0193,60.9,4.06,94,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0194,69.8,3.82,80,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0195,59.6,3.98,88,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0196,61.2,3.39,99,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0197,78.1,3.36,93,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0198,73.7,3.65,100,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0199,56.7,3.8,90,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0200,70.7,4.03,132,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0201,68.0,3.77,96,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0202,61.6,3.78,88,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0203,65.1,4.07,78,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0204,71.8,4.07,91,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0205,49.5,3.5,112,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0206,63.8,3.38,85,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0207,69.7,3.84,89,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0208,61.5,3.56,79,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0209,75.0,3.58,111,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0210,74.4,3.97,86,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0211,66.8,3.67,79,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0212,66.2,3.32,111,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0213,60.8,3.74,97,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0214,62.2,3.85,86,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0215,70.0,3.27,95,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0216,77.3,3.38,83,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0217,67.5,3.73,98,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0218,67.3,3.87,109,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0219,66.8,3.6,103,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0220,77.0,3.64,78,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0221,71.6,3.64,60,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0222,69.8,3.52,91,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0223,66.3,3.73,103,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0224,61.0,3.83,89,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0225,69.0,3.86,79,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0226,71.4,3.52,105,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0227,66.5,4.22,89,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0228,61.6,3.67,88,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0229,69.5,3.19,77,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0230,56.7,3.96,118,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0231,63.3,3.63,94,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0232,71.9,3.4,96,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0233,70.7,3.83,96,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0234,70.8,2.87,103,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0235,59.5,3.13,100,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0236,73.4,3.64,107,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0237,75.0,4.07,117,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0238,69.1,3.7,69,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0239,62.3,3.42,125,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0240,62.8,3.71,101,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0241,64.3,4.18,83,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0242,65.3,3.45,73,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0243,59.8,3.67,86,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0244,59.3,3.26,92,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0245,53.7,3.9,94,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0246,54.0,3.58,82,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0247,66.2,4.08,65,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0248,64.8,3.63,103,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0249,65.5,3.45,88,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0250,58.5,4.0,93,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0251,77.0,3.66,82,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0252,53.6,3.14,69,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0253,65.8,3.83,69,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0254,70.1,3.53,95,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0255,75.0,3.94,89,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0256,57.9,3.03,82,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0257,62.5,3.38,91,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0258,64.5,3.61,83,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0259,65.1,3.81,76,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0260,73.6,3.65,93,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0261,68.8,3.75,107,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0262,66.0,3.49,98,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0263,56.2,3.71,92,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0264,62.6,3.64,65,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0265,60.2,3.7,95,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0266,57.0,4.05,80,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0267,70.6,3.8,83,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0268,76.1,3.32,107,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0269,70.8,3.48,114,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0270,62.3,3.76,97,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0271,63.1,3.92,105,MODERATE,Baseline Distribution Sample
Synthetic_MODERATE_Sample_0272,52.0,4.07,68,MODERATE,Baseline Distribution Sample
